,0,1,2,3,4,5,6,7,8,9
0,greek,yogurt,love,style,fat,free,rich,creamy,ever,thank
1,yogurt,protein,sugar,love,greek,fruit,low,cream,mix,thick
2,consistence,real,yogurt,bad,disappoint,old,joghurt,plane,ingredient,dip
3,yogurt,good,greek,cow,milk,brown,bad,whole,protein,real
4,yogurt,best,texture,add,greek,taste,also,great,smoothy,fruit
5,mix,thick,smell,strawberry,walnut,yummy,banana,fresh,healthy,creamy
6,yogurt,greek,add,whip,besides,plain,best,organic,exactly,could
7,smoothy,loss,delicious,creamy,get,plus,weight,great,job,diet
8,keep,full,stuff,healthy,fat,need,market,flavor,instead,greece
9,like,yogurt,fantastic,greek,purchase,price,best,taste,fresh,flavor
10,sugar,eat,love,low,intake,fruit,year,granola,daily,creamy
11,yogurt,love,try,husband,rest,better,taste,far,say,greek
12,yogurt,greek,brand,taste,plain,thick,perfect,buy,good,creamy
13,good,enjoy,value,whole,price,family,plain,slice,desert,tarte
14,yogurt,greek,great,worth,tart,fat,bland,compare,dressing,everything
15,yogurt,greek,love,best,nonfat,thick,smooth,though,dish,sweet
16,delicious,creamy,add,others,mostly,nonfat,brand,also,consistency,greek
17,greek,quality,yogurt,tub,great,many,eating,base,god,cost
18,household,hand,stuff,keep,texture,instead,dip,chip,staple,daily
19,product,yogurt,try,one,organic,prefer,make,like,plain,add
